acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,location
-1.627950072,5.478000164,9.510000229,0.2679874897,-0.2014375031,0.142037496,21.375,-12.93750095,1.125,A201
0.5550000072,9.538050652,1.465050101,0.1380500048,-0.07383749634,0.01347499993,-4.725000381,-19.76250076,18.71250153,A201
0.1810500026,8.820000648,4.816950321,-0.1711875051,0.7886999846,0.2589125037,20.66250038,-14.00625038,-8.475000381,A201
0.3439500034,9.18405056,2.18295002,0.02254999988,0.1748999953,0.1736624986,13.16250038,-11.96250057,-23.23125076,A201
0.7180500627,8.11095047,2.719050169,-0.1091749966,-0.04949999973,-0.03904999793,-7.650000095,-20.26875114,20.13750076,A201
2.940000057,10.37205029,1.474050045,0.9395374656,-0.184937492,0.7253124714,-9.675000191,-22.5,19.81875038,A201
-0.9760500193,5.784000397,6.367950439,0.003299999982,-0.003849999979,0.004537499975,-8.137500763,-28.50000191,4.518750191,A201
1.138950109,8.619000435,1.072050095,-0.2766500115,0.4680500031,0.07108750194,-1.106250048,-7.912500381,-26.56875038,A201
0.8520000577,9.921000481,2.317050219,0.4398624897,0.3613499999,0.3697375059,-9.806250572,-19.36875153,17.53125,A201
-4.2520504,5.821950436,7.671000481,-0.1791625023,0.2237125039,-0.3085500002,23.04375076,-14.02500057,0.3000000119,A201
2.499000072,8.820000648,-0.3730500042,0.4607625008,0.1794375032,0.5703499913,-5.212500095,-16.01250076,-23.94375038,A201
0.487950027,10.31400013,1.398000121,0.1220999956,-0.09047500044,0.0362999998,-5.606250286,-18.73125076,17.47500038,A201
1.465050101,7.585050583,5.286000252,-0.07686249912,0.6516125202,0.6088500023,17.40000153,-7.500000477,-18.07500076,A201
0.4110000134,9.213000298,2.298000097,-0.07603749633,0.07686249912,0.01952499896,-9.1875,-20.98125076,17.38125038,A201
1.636950135,7.527000427,4.692000389,-0.04729999974,0.6132500172,0.5032500029,18.09375,-7.931250095,-18.16875076,A201
1.129950047,7.920000553,0.1429500133,-0.2314125001,-0.215049997,-0.06902500242,-7.575000286,-19.89375114,21.86250114,A201
-1.743000031,4.644000053,7.077000141,-0.3150124848,0.1381874979,0.1934625059,21.84375,-19.35000038,0.5625,A201
-1.264050007,5.430000305,8.571000099,-0.1896124929,-0.09721250087,-0.04716249928,22.55625153,-13.59375095,0.7125000358,A201
0.6120000482,8.715000153,4.663950443,0.5765374899,0.1585374922,0.1820500046,-6.806250095,-22.10625076,14.17500019,A201
0.6600000262,10.04595089,4.165950298,0.122512497,0.1138499975,0.09033749998,13.06875038,-11.41875076,-23.04375076,A201
0.3919500113,8.723999977,4.375950336,-0.0974875018,-0.2657875121,-0.01938750036,-7.556250095,-20.86875153,21.24375153,A201
2.575950146,10.38105011,1.54095006,0.7178875208,-0.2155999988,0.6433625221,-8.775000572,-22.83750153,18.97500038,A201
0.1339500099,7.804950237,2.298000097,-0.0560999997,0.1042250022,0.098862499,12.18750095,-11.41875076,-23.13750076,A201
-0.6600000262,8.820000648,3.562050104,0.180812493,-0.08992499858,-0.002062499989,-4.818750381,-19.76250076,18.48750114,A201
-0.4590000212,10.33305073,2.671950102,0.03217500076,0.02282499894,-0.1296624988,13.63125038,-10.96875,-22.20000076,A201
-4.635000229,5.640000343,11.93295097,-0.1971749961,-0.4720374942,-0.4390375018,4.331250191,-27.05625153,6.543750286,A201
-0.2100000083,5.727000237,9.787050247,0.05128749833,-0.249424994,-0.2033624947,1.143750072,-29.47500038,7.312500477,A201
-0.1050000042,10.14195061,1.551000118,0.09597499669,0.07562500238,-0.05775000155,-8.662500381,-19.125,22.91250038,A201
3.28395009,11.62605095,7.354950428,-0.03973750025,-1.006637454,-0.8153749704,-1.162500024,2.118750095,-24.73125076,A201
-1.455000043,10.94595051,1.291950107,0.1156374961,0.05486249924,-0.1507000029,-6.506250381,-18.24375153,19.95000076,A201
0.487950027,6.157950401,6.799050331,-0.1835625023,-0.3000249863,0.07713750005,-9.300000191,-28.16250038,5.268750191,A201
0.3630000055,6.426000118,8.791049957,-0.1913999915,0.04413750023,0.520437479,16.6875,-21.67500114,2.100000143,A201
0.01905000024,8.513999939,2.748000145,-0.07851249725,-0.1450625062,-0.08098749816,-5.512500286,-19.42500114,19.78125,A201
0.9570000172,9.280050278,2.403000116,-0.04812499881,0.07521250099,-0.07919999957,-9.693750381,-19.95000076,19.59375,A201
0.009000000544,9.17400074,5.257050037,-0.2414499968,0.1370874941,-0.05101250112,-7.331250191,-22.38750076,20.45625114,A201
0.3730500042,5.554050446,11.3010006,-0.1211374998,-0.3257375062,0.6953374743,19.48125076,-18.35625076,2.362500191,A201
-0.8520000577,9.826050758,1.972050071,0.1302125007,0.001649999991,0.006599999964,-7.162500381,-19.38750076,16.74375153,A201
-7.087050438,4.836000443,10.00800037,-0.6535375118,-0.6275500059,-1.33168745,-4.875,-5.493750095,-22.18125153,A201
-5.784000397,3.265050173,9.30795002,-0.6055499911,0.004399999976,-0.4564999938,24.80625153,-7.087500095,0.3937500119,A201
0.8419500589,8.830050468,1.867050052,-0.1148125008,0.2296250015,0.1772374958,12.46875095,-11.10000038,-23.15625,A201
1.129950047,7.920000553,0.1429500133,-0.2314125001,-0.215049997,-0.06902500242,-7.575000286,-19.89375114,21.86250114,A201
2.346000195,10.84995079,3.993000269,0.1053249985,0.02791249938,-0.1798499972,-6.093750477,-19.57500076,21.61875153,A201
3.112050056,7.441050529,4.491000175,0.2646875083,-0.09528750181,0.05252499878,-6.468750477,-28.18125153,3.956250191,A201
-0.4300500154,9.433050156,2.221050024,-0.02227500081,-0.1425874978,-0.04028749838,-5.700000286,-19.72500038,20.11875153,A201
-1.291950107,8.437050819,4.873950005,-0.6001874804,-0.04839999974,-0.4930749834,-5.231250286,-6.937500477,-26.28750038,A201
-1.090950012,7.297050476,3.735000134,-0.02832499892,-0.1944250017,-0.5069624782,1.125,-24.22500038,14.11875057,A201
-0.5449500084,8.092050552,8.427000046,0.6877750158,0.1155000031,-0.7232499719,2.025000095,-29.34375191,8.493750572,A201
-0.07605000585,8.322000504,3.724950075,-0.3463625014,0.2980999947,0.05995000154,-14.92500019,-20.08125114,13.44375038,A201
-0.6120000482,10.04595089,3.178950071,0.2219250053,0.05857500061,-0.07287500054,-6.468750477,-19.78125,17.85000038,A201
-0.2959500253,8.322000504,2.785950184,0.01539999992,-0.01292499993,-0.07603749633,-7.875000477,-18.91875076,22.35000038,A201
-1.513050079,6.589050293,7.891050339,-0.5662249923,0.1182499975,0.5054500103,19.89375114,-19.44375038,1.537500024,A201
0.9000000358,9.691950798,5.113950253,-0.02901249938,0.3937999904,0.0919874981,-15.91875076,-20.08125114,13.55625057,A201
-0.07605000585,10.22805023,6.177000523,0.5354250073,-0.2120250016,0.5285499692,-8.287500381,-23.15625,19.08750153,A201
1.063050032,8.130000114,4.357050419,-0.1168750003,-0.2626250088,-0.02309999987,-7.743750095,-20.45625114,20.90625,A201
1.780950069,8.590050697,1.714050055,-0.003024999984,0.2066625059,0.1786125004,-14.02500057,-18.20625114,21.48750114,A201
5.047050476,10.54395008,-2.116050005,1.265962481,0.2095499933,0.5380374789,-13.55625057,-22.125,17.98125076,A201
0.487950027,9.595950127,4.156050205,0.7785249949,-0.03492499888,0.1821874976,18.61875153,-14.36250019,5.100000381,A201
-0.5550000072,7.6039505,8.18805027,0.3719374835,-0.4178625047,0.0798875019,-1.481250048,-28.31250191,2.081250191,A201
-1.800000072,7.009950161,6.225000381,-0.09047500044,-0.2424124926,0.03066249937,-8.625,-28.18125153,4.59375,A201
-5.391000271,5.43900013,5.362950325,-0.4214375019,-0.5864375234,-2.423024893,-4.350000381,-7.237500191,-23.40000153,A201
0.9379500151,8.848950386,3.160050154,-0.08263749629,0.2048749924,0.1348875016,12.67500019,-11.19375038,-22.61250114,A201
-0.4110000134,8.446949959,2.806050062,0.05004999787,0.1194875017,-0.02639999986,12.46875095,-10.16250038,-24.07500076,A201
2.116050005,7.612950325,4.635000229,-0.04042499885,0.5880874991,0.4632374942,17.00625038,-7.537500381,-19.16250038,A201
-0.5650500059,10.02705002,2.595000029,0.2219250053,0.05857500061,-0.07287500054,-6.468750477,-19.78125,17.85000038,A201
0.1050000042,10.71600056,3.850050211,0.103262499,0.05142499879,-0.2080374956,-6.487500191,-19.59375,20.75625038,A201
0.7660500407,8.523000717,5.382000446,-0.2092749923,0.8178499937,0.6204000115,19.42500114,-6.618750095,-16.93125153,A201
-0.6510000229,9.040050507,0.9670500755,-0.04028749838,-0.1788875014,-0.02213750035,-5.793750286,-19.42500114,19.55625153,A201
-0.5170500278,8.485050201,5.344050407,0.4881249964,-0.09955000132,0.09212499857,-3.0,-22.5,15.26250076,A201
0.2770500183,8.809950829,2.785950184,0.2941125035,0.4119499922,0.3040125072,-10.76250076,-19.3125,15.69375038,A201
0.2389500141,8.475000381,2.134950161,-0.146025002,-0.1486375034,0.0240624994,-7.256250381,-20.71875,18.95625114,A201
