pca_1,pca_2,pca_3,location
-0.26191961334979047,-0.26191961334979047,-0.26191961334979047,archivo_gestion_documental
-0.23035165882080577,-0.23035165882080577,-0.23035165882080577,archivo_gestion_documental
-0.1924581124295158,-0.1924581124295158,-0.1924581124295158,archivo_gestion_documental
-0.21320297255617332,-0.21320297255617332,-0.21320297255617332,archivo_gestion_documental
-0.24070066962904282,-0.24070066962904282,-0.24070066962904282,archivo_gestion_documental
-0.1741754388711191,-0.1741754388711191,-0.1741754388711191,archivo_gestion_documental
-0.2778422524177848,-0.2778422524177848,-0.2778422524177848,archivo_gestion_documental
-0.30824139739347856,-0.30824139739347856,-0.30824139739347856,archivo_gestion_documental
-0.2632231256632422,-0.2632231256632422,-0.2632231256632422,archivo_gestion_documental
-0.1758576298657921,-0.1758576298657921,-0.1758576298657921,archivo_gestion_documental
-0.2819690413233205,-0.2819690413233205,-0.2819690413233205,archivo_gestion_documental
-0.3177420661347967,-0.3177420661347967,-0.3177420661347967,archivo_gestion_documental
-0.2839834747903952,-0.2839834747903952,-0.2839834747903952,archivo_gestion_documental
-0.2697772381743898,-0.2697772381743898,-0.2697772381743898,archivo_gestion_documental
-0.19069121785210424,-0.19069121785210424,-0.19069121785210424,archivo_gestion_documental
-0.17590461628784212,-0.17590461628784212,-0.17590461628784212,archivo_gestion_documental
-0.20951089514836935,-0.20951089514836935,-0.20951089514836935,archivo_gestion_documental
-0.29241540315797065,-0.29241540315797065,-0.29241540315797065,archivo_gestion_documental
-0.2632101136124639,-0.2632101136124639,-0.2632101136124639,archivo_gestion_documental
-0.19750777717169374,-0.19750777717169374,-0.19750777717169374,archivo_gestion_documental
-0.29458300453047137,-0.29458300453047137,-0.29458300453047137,archivo_gestion_documental
-0.2190144854980974,-0.2190144854980974,-0.2190144854980974,archivo_gestion_documental
-0.19516018708100627,-0.19516018708100627,-0.19516018708100627,archivo_gestion_documental
-0.20305804866314342,-0.20305804866314342,-0.20305804866314342,archivo_gestion_documental
-0.2649367954571717,-0.2649367954571717,-0.2649367954571717,archivo_gestion_documental
-0.2726600144280908,-0.2726600144280908,-0.2726600144280908,archivo_gestion_documental
-0.18910435331146053,-0.18910435331146053,-0.18910435331146053,archivo_gestion_documental
-0.2761862759425955,-0.2761862759425955,-0.2761862759425955,archivo_gestion_documental
-0.21719977009673033,-0.21719977009673033,-0.21719977009673033,archivo_gestion_documental
-0.27706146259138364,-0.27706146259138364,-0.27706146259138364,archivo_gestion_documental
-0.2899406784671969,-0.2899406784671969,-0.2899406784671969,archivo_gestion_documental
-0.21181904762350653,-0.21181904762350653,-0.21181904762350653,archivo_gestion_documental
-0.22231464723186706,-0.22231464723186706,-0.22231464723186706,archivo_gestion_documental
-0.2058882787749101,-0.2058882787749101,-0.2058882787749101,archivo_gestion_documental
-0.21204854473654838,-0.21204854473654838,-0.21204854473654838,archivo_gestion_documental
-0.3145730422224332,-0.3145730422224332,-0.3145730422224332,archivo_gestion_documental
-0.27882414062421207,-0.27882414062421207,-0.27882414062421207,archivo_gestion_documental
-0.21072275267178442,-0.21072275267178442,-0.21072275267178442,archivo_gestion_documental
-0.2940211576181991,-0.2940211576181991,-0.2940211576181991,archivo_gestion_documental
-0.29419686564844166,-0.29419686564844166,-0.29419686564844166,archivo_gestion_documental
-0.20064114049959078,-0.20064114049959078,-0.20064114049959078,archivo_gestion_documental
-0.23776375120727108,-0.23776375120727108,-0.23776375120727108,archivo_gestion_documental
-0.2928271941069674,-0.2928271941069674,-0.2928271941069674,archivo_gestion_documental
-0.2592847444053045,-0.2592847444053045,-0.2592847444053045,archivo_gestion_documental
-0.20830731108163814,-0.20830731108163814,-0.20830731108163814,archivo_gestion_documental
-0.28058685520041976,-0.28058685520041976,-0.28058685520041976,archivo_gestion_documental
-0.20826667715982253,-0.20826667715982253,-0.20826667715982253,archivo_gestion_documental
-0.1925369881566061,-0.1925369881566061,-0.1925369881566061,archivo_gestion_documental
-0.20685018426695304,-0.20685018426695304,-0.20685018426695304,archivo_gestion_documental
-0.21688287927014516,-0.21688287927014516,-0.21688287927014516,archivo_gestion_documental
-0.2928304467125064,-0.2928304467125064,-0.2928304467125064,archivo_gestion_documental
-0.27458653621134627,-0.27458653621134627,-0.27458653621134627,archivo_gestion_documental
-0.23183319175224684,-0.23183319175224684,-0.23183319175224684,archivo_gestion_documental
-0.19001918023458758,-0.19001918023458758,-0.19001918023458758,archivo_gestion_documental
-0.30801070303211486,-0.30801070303211486,-0.30801070303211486,archivo_gestion_documental
-0.2009218162658712,-0.2009218162658712,-0.2009218162658712,archivo_gestion_documental
-0.1758265095211408,-0.1758265095211408,-0.1758265095211408,archivo_gestion_documental
-0.30990139577020137,-0.30990139577020137,-0.30990139577020137,archivo_gestion_documental
-0.24798790789358108,-0.24798790789358108,-0.24798790789358108,archivo_gestion_documental
-0.19947345828041332,-0.19947345828041332,-0.19947345828041332,archivo_gestion_documental
-0.2636381460431681,-0.2636381460431681,-0.2636381460431681,archivo_gestion_documental
-0.2740760839443633,-0.2740760839443633,-0.2740760839443633,archivo_gestion_documental
-0.27424616985771366,-0.27424616985771366,-0.27424616985771366,archivo_gestion_documental
-0.28382221530297064,-0.28382221530297064,-0.28382221530297064,archivo_gestion_documental
-0.3121440671370181,-0.3121440671370181,-0.3121440671370181,archivo_gestion_documental
-0.2132333508341217,-0.2132333508341217,-0.2132333508341217,archivo_gestion_documental
-0.2087333245457722,-0.2087333245457722,-0.2087333245457722,archivo_gestion_documental
-0.2661385788361636,-0.2661385788361636,-0.2661385788361636,archivo_gestion_documental
-0.2377000794748403,-0.2377000794748403,-0.2377000794748403,archivo_gestion_documental
-0.2519863189399013,-0.2519863189399013,-0.2519863189399013,archivo_gestion_documental
-0.3103917714371938,-0.3103917714371938,-0.3103917714371938,archivo_gestion_documental
-0.18766839789693146,-0.18766839789693146,-0.18766839789693146,archivo_gestion_documental
-0.20737873055050146,-0.20737873055050146,-0.20737873055050146,archivo_gestion_documental
-0.2022258089229,-0.2022258089229,-0.2022258089229,archivo_gestion_documental
-0.3043622394052416,-0.3043622394052416,-0.3043622394052416,archivo_gestion_documental
-0.3146221696874429,-0.3146221696874429,-0.3146221696874429,archivo_gestion_documental
-0.2887416158906636,-0.2887416158906636,-0.2887416158906636,archivo_gestion_documental
-0.1721157813971234,-0.1721157813971234,-0.1721157813971234,archivo_gestion_documental
-0.2864498807553102,-0.2864498807553102,-0.2864498807553102,archivo_gestion_documental
-0.21696268232365945,-0.21696268232365945,-0.21696268232365945,archivo_gestion_documental
-0.3079394408725563,-0.3079394408725563,-0.3079394408725563,archivo_gestion_documental
-0.31985402412663344,-0.31985402412663344,-0.31985402412663344,archivo_gestion_documental
-0.2296986551204436,-0.2296986551204436,-0.2296986551204436,archivo_gestion_documental
-0.20760176146336246,-0.20760176146336246,-0.20760176146336246,archivo_gestion_documental
-0.27544824744893787,-0.27544824744893787,-0.27544824744893787,archivo_gestion_documental
-0.19001918023458758,-0.19001918023458758,-0.19001918023458758,archivo_gestion_documental
-0.2760245675857104,-0.2760245675857104,-0.2760245675857104,archivo_gestion_documental
-0.27065576702905336,-0.27065576702905336,-0.27065576702905336,archivo_gestion_documental
-0.2668710633453024,-0.2668710633453024,-0.2668710633453024,archivo_gestion_documental
-0.27239897998162627,-0.27239897998162627,-0.27239897998162627,archivo_gestion_documental
-0.2883072597152853,-0.2883072597152853,-0.2883072597152853,archivo_gestion_documental
-0.1909914383281673,-0.1909914383281673,-0.1909914383281673,archivo_gestion_documental
